Title,Director,Genres,Plot,Vote Average,Vote Count
47 Ronin,Carl Rinsch,"Drama, Action, Fantasy","Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",6.181,3791
Senseless,Penelope Spheeris,"Comedy, Romance",A student gets his senses enhanced by an experimental drug. But abuse is not an option.,6.178,356
Dangerous Minds,John N. Smith,Drama,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",6.983,1137
A Perfect World,Clint Eastwood,"Drama, Crime","A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",7.5,1631
The King of Comedy,Martin Scorsese,"Drama, Comedy","Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",7.8,2263
Smokin' Aces 2: Assassins' Ball,P.J. Pesce,"Action, Comedy","Walter Weed is an unassuming desk jockey at the FBI when the Bureau uncovers a plot to assassinate him. A team of degenerate, psychotic assassins dispatched by mystery man Hal Leuco to win a huge bounty includes a resourceful beauty who has a unique method of killing her prey, a power-tool wielding psychopath and a deadly master of disguise.",5.4,268
Live Flesh,Pedro Almodóvar,"Drama, Romance, Thriller","When Victor attempts to seduce Elena, all he gets for his trouble is a one-way, six-year ticket to prison, where he concentrates on strengthening his mind, his body... and his desire for vengeance on the man who put him there. After his release and still madly in love with her, Victor will stop at nothing to win her over even if means revenge, for Elena has married David, the cop who sent him to prison!",7.04,658
In the Tall Grass,Vincenzo Natali,"Horror, Drama, Thriller","After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and enter the field, discovering that they are not alone and, for some reason, they are unable to escape a completely inextricable vegetable labyrinth.",5.5,2185
Barabbas,Richard Fleischer,"History, Drama, Adventure","Epic account of the thief Barabbas, who was pardoned for his crimes and spared crucifixion when Pilate offered the Israelites a choice to pardon Barabbas or Jesus. Struggling with his spirituality, Barabbas goes through many ordeals leading him to the gladiatorial arena, where he tries to win his freedom and confront his inner demons, ultimately becoming a follower of the man who was crucified in his place.",6.8,152
Mother's Friend,Lee Ri-dan,Romance,"Hyeri and Ji-yeon are friends in the same neighborhood. They have a son to go to the army after some time. One day, Min-gu, who was playing at Jun-suk's house, sees Jun-suk's mother Hyeri in the shower and gets excited and hits her. Hyeri, who initially resisted, gave up resistance to Mingu's power, and after that day, the two develop into sex every time they have time. After a few days, Ji-yeon, who accidentally witnessed her son Min-gu and Hye-ri having sex, begins to seduce Hye-ri's son Jun-seok.",5.6,5
Laura's Toys,Joseph W. Sarno,Drama,"Archaeologist Walter and his wife Laura are working at a dig on a small island off the coast of Sweden. One day Laura catches Walter having a go at it with his sexy assistant, Anna. Laura calls in her old friend--and former lesbian lover--Hanni to help get her revenge on Walter by having she and Hanni seduce Anna.",5.2,11
The Supremes at Earl's All-You-Can-Eat,Tina Mabry,"Comedy, Drama","Three lifelong best friends known as “The Supremes” share the unbreakable bonds of sisterhood from decades of weathering life’s storms. Through the joys and sorrows of life, marriage and children, happiness and blues, love and loss, new shades of heartbreak and illness threaten to stir up the past when the trio sees their bond put to the test as they face their most challenging times yet.",7.455,11
Widows,Steve McQueen,"Crime, Thriller","A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago. Their widows have nothing in common except a debt left behind by their spouses' criminal activities. Hoping to forge a future on their own terms, they join forces to pull off a heist.",6.5,2276
On Deadly Ground,Steven Seagal,Action,Forrest Taft is an environmental agent who works for the Aegis Oil Company in Alaska. Aegis Oil's corrupt CEO is the kind of person who doesn't care whether or not oil spills into the ocean or onto the land—just as long as it's making money for him.,5.1,463
Delicious Tutor,Lee Ga-on,Romance,"Bong-soo receives a love tutor from Hope to escape from Moto-solo. Just a friend, Jeongyeon, starts to look like a woman. Bongsu confesses his anxiety to hope.",0.0,0
Fred Claus,David Dobkin,"Action, Comedy, Drama","Fred Claus and Santa Claus have been estranged brothers for many years. Now Fred must reconcile his differences with his brother whom he believes overshadows him. When an efficiency expert assesses the workings at the North Pole and threatens to shut Santa down, Fred must help his brother to save Christmas.",5.808,829
Barbie and the Three Musketeers,William Lau,"Animation, Family","Corinne (Barbie) is a young country girl who heads to Paris to pursue her big dream – to become a female musketeer! Never could she imagine she would meet three other girls who secretly share the same dream! Using their special talents, the girls work together as a team to foil a plot and save the prince. It's all for one and one for all!",7.3,672
Vanishing Point,Richard C. Sarafian,"Action, Crime, Drama","Kowalski works for a car delivery service, and takes delivery of a 1970 Dodge Challenger to drive from Colorado to San Francisco. Shortly after pickup, he takes a bet to get the car there in less than 15 hours.",7.165,443
"Snoopy Presents: It's the Small Things, Charlie Brown",Raymond S. Persi,"Animation, Family","Charlie Brown is determined to win the big baseball game. But things turn into a fiasco right before the matchup, when Sally bonds with a little flower on the pitcher’s mound and vows to protect it at all costs.",7.3,44
Midnight Express,Alan Parker,"Drama, Crime","Billy Hayes is caught attempting to smuggle drugs out of Turkey. The Turkish courts decide to make an example of him, sentencing him to more than 30 years in prison. Hayes has two opportunities for release: the appeals made by his lawyer, his family, and the American government, or the ""Midnight Express"".",7.5,1686
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,"Science Fiction, Adventure, Action, Comedy, Family","The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",6.154,1120
Dreamgirls,Bill Condon,"Drama, Music","A trio of female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",6.7,983
Something's Gotta Give,Nancy Meyers,"Drama, Comedy, Romance","When perpetually single, aging music industry exec Harry Sanborn, and his latest trophy girlfriend, Marin, arrive at her mother's beach house in the Hamptons, they find that her mother, playwright Erica Barry, also plans to stay for the weekend. Erica is scandalized by the relationship and Harry's sexist ways. But when Harry has a heart attack while there, and the doctor prescribes bedrest, his only option is to stay at the Barry home. Left in the care of Erica and his doctor, a love triangle starts to take shape.",6.6,1562
Palazzina LAF,Michele Riondino,Drama,"Caterino is a worker at the Ilva factory in Taranto. When the company executives decide to use him as a spy to identify the workers they should get rid of, Caterino starts to track his colleagues, in search of reasons to report them. He then asks to be assigned himself to the Palazzino LAF where as punishment, some employees sit out their time with no job assignment. There he discovers that what looks like paradise is actually a strategy to psychologically break troublesome workers.",6.8,111
